,Title,Year,Varietal,Price,Region,Country,Score_WS,Score_RP,Score_W&S,Score_JH,Score_CG,Score_WE,Score_WW,Score_BH,Score_JS,Score_TP,Score_D,Score_V,Score_JD,ProfessionalRating,Professional,StarRating,numRater,Shopping_Link,Img_src
1628,Mustiguillo Mestizaje 2016,2016,Other Red Blends,16.99,,Spain,,91,,,,,,,,,,,,91,,0,0,https://www.wine.com/product/Mustiguillo-Mestizaje-2016/430393,https://www.wine.com/product/images/fl_progressive/430393.jpg
1629,Nicolas Ulacia e Hijos Ulacia Txakolina Rose 2017,2017,Rosí©,19.99,,Spain,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Nicolas-Ulacia-e-Hijos-Ulacia-Txakolina-Rose-2017/433460,https://www.wine.com/product/images/fl_progressive/433460.jpg
1630,Cattleya Wines Alma de Cattleya Pinot Noir 2016,2016,Pinot Noir,27.99,Sonoma County,California,90,,,,,91,,,,,,92,90,91,,0,0,https://www.wine.com/product/Cattleya-Wines-Alma-de-Cattleya-Pinot-Noir-2016/348573,https://www.wine.com/product/images/fl_progressive/348573.jpg
1631,Fleur de California Carneros Chardonnay 2016,2016,Chardonnay,19.99,Carneros,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Fleur-de-California-Carneros-Chardonnay-2016/421600,https://www.wine.com/product/images/fl_progressive/421600.jpg
1632,Delaire Graff Chardonnay 2016,2016,Chardonnay,26.99,,South Africa,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Delaire-Graff-Chardonnay-2016/418007,https://www.wine.com/product/images/fl_progressive/418007.jpg
1633,Qupe Bien Nacido Y Block Chardonnay 2016,2016,Chardonnay,18.99,Central Coast,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Qupe-Bien-Nacido-Y-Block-Chardonnay-2016/506289,https://www.wine.com/product/images/fl_progressive/byrh7dphal1huykg5n6x.jpg
1634,Morgadio Albarino 2016,2016,Albarino,18.99,Rias Baixas,Spain,,,,,,90,,,,,,,,90,,4,5,https://www.wine.com/product/Morgadio-Albarino-2016/324304,https://www.wine.com/product/images/fl_progressive/324304.jpg
1635,Earl Stevens Mangoscato,,Muscat,18.99,,California,,,,,,,,,,,,,,0,,4.6,46,https://www.wine.com/product/Earl-Stevens-Mangoscato/132581,https://www.wine.com/product/images/fl_progressive/132581.jpg
1636,Pascal Jolivet Pouilly Fume 2012,2012,Sauvignon Blanc,22.99,Loire,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Pascal-Jolivet-Pouilly-Fume-2012/128223,https://www.wine.com/product/images/fl_progressive/128223.jpg
1637,Replica Misbehaved Pinot Noir 2015,2015,Pinot Noir,14.99,,California,,,,,,,,,,,,,,0,,4.5,16,https://www.wine.com/product/Replica-Misbehaved-Pinot-Noir-2015/187903,https://www.wine.com/product/images/fl_progressive/187903.jpg
1638,Cakebread Two Creeks Vineyards Pinot Noir 2016,2016,Pinot Noir,52.99,Mendocino,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Cakebread-Two-Creeks-Vineyards-Pinot-Noir-2016/430694,https://www.wine.com/product/images/fl_progressive/430694.jpg
1639,Barone Fini Valdadige Pinot Grigio 2017,2017,Pinot Gris/Grigio,11.99,Trentino-Alto Adige,Italy,,,,,,,,,,,,,,0,,4.2,5,https://www.wine.com/product/Barone-Fini-Valdadige-Pinot-Grigio-2017/430388,https://www.wine.com/product/images/fl_progressive/430388.jpg
1640,John Duval Entity Shiraz 2015,2015,Syrah/Shiraz,39.99,Barossa,Australia,91,92,,96,,,,,93,,90,,,92,,0,0,https://www.wine.com/product/John-Duval-Entity-Shiraz-2015/422572,https://www.wine.com/product/images/fl_progressive/cnlfkaperim50kepaumi.jpg
1641,Alvaro Palacios Camins del Priorat 2017,2017,Other Red Blends,26.99,Priorat,Spain,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Alvaro-Palacios-Camins-del-Priorat-2017/493896,https://www.wine.com/product/images/fl_progressive/wk0doownctwwlel6ofhl.jpg
1642,Domaine Lafage Cuvee Nicolas 2014,2014,Grenache,13.99,Languedoc-Roussillon,France,,92,,,,,,,,,,,,92,,3.8,27,https://www.wine.com/product/Domaine-Lafage-Cuvee-Nicolas-2014/160452,https://www.wine.com/product/images/fl_progressive/160452.jpg
1643,The Seeker Sauvignon Blanc 2017,2017,Sauvignon Blanc,12.99,Marlborough,New Zealand,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/The-Seeker-Sauvignon-Blanc-2017/406242,https://www.wine.com/product/images/fl_progressive/406242.jpg
1644,La Voix Reflektor Pinot Noir 2012,2012,Pinot Noir,104.99,Central Coast,California,90,,,,,95,,,,,,,,93,,0,0,https://www.wine.com/product/La-Voix-Reflektor-Pinot-Noir-2012/157264,https://www.wine.com/product/images/fl_progressive/157264.jpg
1645,FEL Anderson Valley Pinot Noir 2016,2016,Pinot Noir,43.99,Mendocino,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/FEL-Anderson-Valley-Pinot-Noir-2016/434639,https://www.wine.com/product/images/fl_progressive/434639.jpg
