,Title,Title2,Price,StarRating,numRater,Shopping_Link,Img_src,Website
260,Belle Glos Las Alturas Vineyard Pinot Noir 2016,"Belle Glos Pinot Noir Las Alturas, 2016",119.99,4.9,18.0,https://www.totalwine.com/wine/red-wine/pinot-noir/belle-glos-pinot-noir-las-alturas/p/38584015?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hf4/hc5/9947269136414.png,Total Wine
261,Belle Glos Las Alturas Vineyard Pinot Noir (1.5 Liter Magnum) 2016,"Belle Glos Pinot Noir Las Alturas, 2016",49.99,4.9,18.0,https://www.totalwine.com/wine/red-wine/pinot-noir/belle-glos-pinot-noir-las-alturas/p/38584750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h42/hc0/9012496826398.png,Total Wine
262,Belle Glos Las Alturas Vineyard Pinot Noir (1.5 Liter Magnum) 2016,"Belle Glos Pinot Noir Las Alturas, 2016",119.99,4.9,18.0,https://www.totalwine.com/wine/red-wine/pinot-noir/belle-glos-pinot-noir-las-alturas/p/38584015?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hf4/hc5/9947269136414.png,Total Wine
263,Chateau Montrose 2009,"Chateau Montrose St Estephe, 2009",399.99,5.0,1.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-montrose-st-estephe/p/30909750?s=203&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h13/h7e/8807461158942.png,Total Wine
264,Felsina Berardenga Chianti Classico 2015,"Felsina Chianti Classico, 2015",21.14,,0.0,https://www.totalwine.com/wine/red-wine/sangiovese/felsina-chianti-classico/p/105329750?s=302&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h83/h82/8809469706270.png,Total Wine
265,Felsina Berardenga Chianti Classico Riserva 2015,"Felsina Chianti Classico, 2015",21.14,,0.0,https://www.totalwine.com/wine/red-wine/sangiovese/felsina-chianti-classico/p/105329750?s=302&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h83/h82/8809469706270.png,Total Wine
266,Felsina Berardenga Chianti Classico (375ML half-bottle) 2015,"Felsina Chianti Classico, 2015",21.14,,0.0,https://www.totalwine.com/wine/red-wine/sangiovese/felsina-chianti-classico/p/105329750?s=302&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h83/h82/8809469706270.png,Total Wine
267,Chalk Hill Estate Chardonnay 2015,"Chalk Hill Chardonnay Estate, 2015",37.99,,0.0,https://www.totalwine.com/wine/white-wine/chardonnay/chalk-hill-chardonnay-estate/p/185641750?s=923&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
268,Piper-Heidsieck Brut Vintage Rare with Gift Box 2002,"Piper Heidsieck Rare, 2002",149.99,5.0,1.0,https://www.totalwine.com/wine/champagne-sparkling-wine/champagne/piper-heidsieck-rare/p/140009750?s=401&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h4b/h20/9947193770014.png,Total Wine
269,Roederer Estate Brut (1.5 Liter Magnum),Roederer Estate Brut,20.99,4.2,12.0,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/brut/roederer-estate-brut/p/454750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h48/he5/8820421722142.png,Total Wine
